STUDENT_ID,CLASS_DATE,ATTENDANCE_STATUS,REASON
0,2013-03-02,present,
0,2013-03-09,present,
0,2013-03-16,present,
0,2013-03-23,present,
0,2013-03-30,present,
0,2013-04-06,present,
0,2013-04-13,present,
0,2013-04-20,present,
0,2013-04-27,present,
0,2013-05-04,present,
0,2013-05-11,present,
0,2013-05-18,present,
0,2013-05-25,present,
0,2013-06-01,present,
0,2013-06-08,present,
0,2013-06-15,present,
0,2013-06-22,present,
0,2013-06-29,present,
0,2013-07-06,present,
0,2013-07-13,present,
0,2013-07-20,present,
0,2013-07-27,present,
0,2013-08-03,present,
0,2013-08-10,present,
0,2013-08-17,present,
0,2013-08-24,present,
0,2013-08-31,present,
0,2013-09-07,present,
0,2013-09-14,present,
0,2013-09-21,present,
0,2013-09-28,present,
0,2013-10-05,absent,traveling
0,2013-10-12,present,
0,2013-10-19,present,
0,2013-10-26,present,
0,2013-11-02,present,
0,2013-11-09,present,
0,2013-11-16,present,
0,2013-11-23,present,
0,2013-11-30,present,
0,2013-12-07,present,
0,2013-12-14,present,
0,2013-12-21,present,
0,2013-12-28,present,
0,2014-01-04,present,
0,2014-01-11,present,
0,2014-01-18,present,
0,2014-01-25,present,
0,2014-02-01,present,
0,2014-02-08,present,
0,2014-02-15,present,
0,2014-02-22,present,
0,2014-03-01,present,
0,2014-03-08,present,
0,2014-03-15,present,
0,2014-03-22,present,
0,2014-03-29,present,
0,2014-04-05,present,
0,2014-04-12,present,
0,2014-04-19,present,
0,2014-04-26,present,
0,2014-05-03,present,
0,2014-05-10,present,
0,2014-05-17,present,
0,2014-05-24,present,
0,2014-05-31,present,
0,2014-06-07,present,
0,2014-06-14,present,
0,2014-06-21,present,
0,2014-06-28,present,
0,2014-07-05,present,
0,2014-07-12,present,
0,2014-07-19,present,
0,2014-07-26,present,
0,2014-08-02,present,
0,2014-08-09,present,
0,2014-08-16,present,
0,2014-08-23,present,
0,2014-08-30,present,
0,2014-09-06,present,
0,2014-09-13,present,
0,2014-09-20,present,
0,2014-09-27,present,
0,2014-10-04,present,
0,2014-10-11,present,
0,2014-10-18,present,
0,2014-10-25,present,
0,2014-11-01,present,
0,2014-11-08,present,
0,2014-11-15,present,
0,2014-11-22,present,
0,2014-11-29,present,
0,2014-12-06,present,
0,2014-12-13,present,
0,2014-12-20,present,
0,2014-12-27,present,
0,2015-01-03,present,
0,2015-01-10,present,
0,2015-01-17,present,
0,2015-01-24,present,
0,2015-01-31,present,
0,2015-02-07,present,
0,2015-02-14,present,
0,2015-02-21,present,
0,2015-02-28,absent,school trip
0,2015-03-07,present,
0,2015-03-14,present,
0,2015-03-21,present,
0,2015-03-28,present,
0,2015-04-04,present,
0,2015-04-11,present,
0,2015-04-18,absent,death in the family
0,2015-04-25,present,
0,2015-05-02,present,
0,2015-05-09,present,
0,2015-05-16,present,
0,2015-05-23,present,
0,2015-05-30,present,
0,2015-06-06,present,
0,2015-06-13,present,
0,2015-06-20,present,
0,2015-06-27,present,
0,2015-07-04,present,
0,2015-07-11,present,
