HW_ASSIGNED_DATE,HW_DUE_DATE,HW_SCORE_MAX,CLASS_ID,HW_ID
2013-03-06,2013-03-13,10,0,0
2013-03-13,2013-03-20,10,0,1
2013-03-20,2013-03-27,10,0,2
2013-03-27,2013-04-03,10,0,3
2013-04-03,2013-04-10,10,0,4
2013-04-10,2013-04-17,10,0,5
2013-04-17,2013-04-24,10,0,6
2013-04-24,2013-05-01,10,0,7
2013-05-01,2013-05-08,10,0,8
2013-05-08,2013-05-15,10,0,9
2013-05-15,2013-05-22,10,0,10
2013-05-22,2013-05-29,10,0,11
2013-05-29,2013-06-05,10,0,12
2013-06-05,2013-06-12,10,0,13
2013-06-12,2013-06-19,10,0,14
2013-06-19,2013-06-26,10,0,15
2013-06-26,2013-07-03,10,0,16
2013-07-03,2013-07-10,10,0,17
2013-07-10,2013-07-17,10,0,18
2013-07-17,2013-07-24,10,0,19
2013-07-24,2013-07-31,10,0,20
2013-07-31,2013-08-07,10,0,21
2013-08-07,2013-08-14,10,0,22
2013-08-14,2013-08-21,10,0,23
2013-08-21,2013-08-28,10,0,24
2013-08-28,2013-09-04,10,0,25
2013-09-04,2013-09-11,10,0,26
2013-09-11,2013-09-18,10,0,27
2013-09-18,2013-09-25,10,0,28
2013-09-25,2013-10-02,10,0,29
2013-10-02,2013-10-09,10,0,30
2013-10-09,2013-10-16,10,0,31
2013-10-16,2013-10-23,10,0,32
2013-10-23,2013-10-30,10,0,33
2013-10-30,2013-11-06,10,0,34
2013-11-06,2013-11-13,10,0,35
2013-11-13,2013-11-20,10,0,36
2013-11-20,2013-11-27,10,0,37
2013-11-27,2013-12-04,10,0,38
2013-12-04,2013-12-11,10,0,39
2013-12-11,2013-12-18,10,0,40
2013-12-18,2013-12-25,10,0,41
2013-12-25,2014-01-01,10,0,42
2014-01-01,2014-01-08,10,0,43
2014-01-08,2014-01-15,10,0,44
2014-01-15,2014-01-22,10,0,45
2014-01-22,2014-01-29,10,0,46
2014-01-29,2014-02-05,10,0,47
2014-02-05,2014-02-12,10,0,48
2014-02-12,2014-02-19,10,0,49
2014-02-19,2014-02-26,10,0,50
2014-02-26,2014-03-05,10,0,51
2014-03-05,2014-03-12,10,0,52
2014-03-12,2014-03-19,10,0,53
2014-03-19,2014-03-26,10,0,54
2014-03-26,2014-04-02,10,0,55
2014-04-02,2014-04-09,10,0,56
2014-04-09,2014-04-16,10,0,57
2014-04-16,2014-04-23,10,0,58
2014-04-23,2014-04-30,10,0,59
2014-04-30,2014-05-07,10,0,60
2014-05-07,2014-05-14,10,0,61
2014-05-14,2014-05-21,10,0,62
2014-05-21,2014-05-28,10,0,63
2014-05-28,2014-06-04,10,0,64
2014-06-04,2014-06-11,10,0,65
2014-06-11,2014-06-18,10,0,66
2014-06-18,2014-06-25,10,0,67
2014-06-25,2014-07-02,10,0,68
2014-07-02,2014-07-09,10,0,69
2014-07-09,2014-07-16,10,0,70
2014-07-16,2014-07-23,10,0,71
2014-07-23,2014-07-30,10,0,72
2014-07-30,2014-08-06,10,0,73
2014-08-06,2014-08-13,10,0,74
2014-08-13,2014-08-20,10,0,75
2014-08-20,2014-08-27,10,0,76
2014-08-27,2014-09-03,10,0,77
2014-09-03,2014-09-10,10,0,78
2014-09-10,2014-09-17,10,0,79
2014-09-17,2014-09-24,10,0,80
2014-09-24,2014-10-01,10,0,81
2014-10-01,2014-10-08,10,0,82
2014-10-08,2014-10-15,10,0,83
2014-10-15,2014-10-22,10,0,84
2014-10-22,2014-10-29,10,0,85
2014-10-29,2014-11-05,10,0,86
2014-11-05,2014-11-12,10,0,87
2014-11-12,2014-11-19,10,0,88
2014-11-19,2014-11-26,10,0,89
2014-11-26,2014-12-03,10,0,90
2014-12-03,2014-12-10,10,0,91
2014-12-10,2014-12-17,10,0,92
2014-12-17,2014-12-24,10,0,93
2014-12-24,2014-12-31,10,0,94
2014-12-31,2015-01-07,10,0,95
2015-01-07,2015-01-14,10,0,96
2015-01-14,2015-01-21,10,0,97
2015-01-21,2015-01-28,10,0,98
2015-01-28,2015-02-04,10,0,99
2015-02-04,2015-02-11,10,0,100
2015-02-11,2015-02-18,10,0,101
2015-02-18,2015-02-25,10,0,102
2015-02-25,2015-03-04,10,0,103
2015-03-04,2015-03-11,10,0,104
2015-03-11,2015-03-18,10,0,105
2015-03-18,2015-03-25,10,0,106
2015-03-25,2015-04-01,10,0,107
2015-04-01,2015-04-08,10,0,108
2015-04-08,2015-04-15,10,0,109
2015-04-15,2015-04-22,10,0,110
2015-04-22,2015-04-29,10,0,111
2015-04-29,2015-05-06,10,0,112
2015-05-06,2015-05-13,10,0,113
2015-05-13,2015-05-20,10,0,114
2015-05-20,2015-05-27,10,0,115
2015-05-27,2015-06-03,10,0,116
2015-06-03,2015-06-10,10,0,117
2015-06-10,2015-06-17,10,0,118
2015-06-17,2015-06-24,10,0,119
2015-06-24,2015-07-01,10,0,120
2015-07-01,2015-07-08,10,0,121
2015-07-08,2015-07-15,10,0,122
2015-07-15,2015-07-22,10,0,123
2015-07-22,2015-07-29,10,0,124
2015-07-29,2015-08-05,10,0,125
2013-03-06,2013-03-13,10,1,126
2013-03-13,2013-03-20,10,1,127
