STUDENT_ID,HW_ID,HW_SCORE,HW_SCORE_MAX,HW_SCORE_PERCENT,HW_ASSIGNED_DATE,HW_TURNED_IN_DATE,CLASS_ID
20,0,0,10,0.0,2013-03-06,2013-03-13,0
29,1,4,10,0.4,2013-03-13,2013-03-20,0
32,2,5,10,0.5,2013-03-20,2013-03-27,0
56,3,0,10,0.0,2013-03-27,2013-04-03,0
58,4,3,10,0.3,2013-04-03,2013-04-10,0
69,5,9,10,0.9,2013-04-10,2013-04-17,0
72,6,0,10,0.0,2013-04-17,2013-04-24,0
75,7,6,10,0.6,2013-04-24,2013-05-01,0
82,8,5,10,0.5,2013-05-01,2013-05-08,0
117,9,7,10,0.7,2013-05-08,2013-05-15,0
133,10,2,10,0.2,2013-05-15,2013-05-22,0
163,11,0,10,0.0,2013-05-22,2013-05-29,0
232,12,4,10,0.4,2013-05-29,2013-06-05,0
262,13,1,10,0.1,2013-06-05,2013-06-12,0
309,14,0,10,0.0,2013-06-12,2013-06-19,0
332,15,4,10,0.4,2013-06-19,2013-06-26,0
343,16,7,10,0.7,2013-06-26,2013-07-03,0
368,17,6,10,0.6,2013-07-03,2013-07-10,0
395,18,9,10,0.9,2013-07-10,2013-07-17,0
406,19,4,10,0.4,2013-07-17,2013-07-24,0
421,20,1,10,0.1,2013-07-24,2013-07-31,0
428,21,3,10,0.3,2013-07-31,2013-08-07,0
476,22,7,10,0.7,2013-08-07,2013-08-14,0
499,23,5,10,0.5,2013-08-14,2013-08-21,0
20,24,5,10,0.5,2013-08-21,2013-08-28,0
29,25,3,10,0.3,2013-08-28,2013-09-04,0
32,26,3,10,0.3,2013-09-04,2013-09-11,0
56,27,9,10,0.9,2013-09-11,2013-09-18,0
58,28,2,10,0.2,2013-09-18,2013-09-25,0
69,29,6,10,0.6,2013-09-25,2013-10-02,0
72,30,4,10,0.4,2013-10-02,2013-10-09,0
75,31,9,10,0.9,2013-10-09,2013-10-16,0
82,32,5,10,0.5,2013-10-16,2013-10-23,0
117,33,2,10,0.2,2013-10-23,2013-10-30,0
133,34,1,10,0.1,2013-10-30,2013-11-06,0
163,35,6,10,0.6,2013-11-06,2013-11-13,0
232,36,0,10,0.0,2013-11-13,2013-11-20,0
262,37,5,10,0.5,2013-11-20,2013-11-27,0
309,38,2,10,0.2,2013-11-27,2013-12-04,0
332,39,1,10,0.1,2013-12-04,2013-12-11,0
343,40,8,10,0.8,2013-12-11,2013-12-18,0
368,41,8,10,0.8,2013-12-18,2013-12-25,0
395,42,9,10,0.9,2013-12-25,2014-01-01,0
406,43,0,10,0.0,2014-01-01,2014-01-08,0
421,44,2,10,0.2,2014-01-08,2014-01-15,0
428,45,5,10,0.5,2014-01-15,2014-01-22,0
476,46,3,10,0.3,2014-01-22,2014-01-29,0
499,47,6,10,0.6,2014-01-29,2014-02-05,0
20,48,9,10,0.9,2014-02-05,2014-02-12,0
29,49,3,10,0.3,2014-02-12,2014-02-19,0
32,50,0,10,0.0,2014-02-19,2014-02-26,0
56,51,9,10,0.9,2014-02-26,2014-03-05,0
58,52,7,10,0.7,2014-03-05,2014-03-12,0
69,53,2,10,0.2,2014-03-12,2014-03-19,0
72,54,8,10,0.8,2014-03-19,2014-03-26,0
75,55,1,10,0.1,2014-03-26,2014-04-02,0
